movieId,title,rating
1,Toy Story (1995),3.8866494325899312
2,Jumanji (1995),3.246582912721512
3,Grumpier Old Men (1995),3.173981392364453
4,Waiting to Exhale (1995),2.874539979926397
5,Father of the Bride Part II (1995),3.0772909396406876
6,Heat (1995),3.8442108566049575
7,Sabrina (1995),3.371348277890334
8,Tom and Huck (1995),3.122482131254061
9,Sudden Death (1995),3.007529781973477
10,GoldenEye (1995),3.431632714743396
11,"American President, The (1995)",3.660277594183741
12,Dracula: Dead and Loving It (1995),2.6696507515473034
13,Balto (1995),3.3396516393442623
14,Nixon (1995),3.4289997075168177
15,Cutthroat Island (1995),2.730976537729867
16,Casino (1995),3.8023623907394284
17,Sense and Sensibility (1995),3.9501262626262625
18,Four Rooms (1995),3.41207034372502
19,Ace Ventura: When Nature Calls (1995),2.6420142094488823
20,Money Train (1995),2.894482610562473
21,Get Shorty (1995),3.5683684190046305
22,Copycat (1995),3.301140445402299
23,Assassins (1995),3.158796961609526
24,Powder (1995),3.1793058426721794
25,Leaving Las Vegas (1995),3.6667605973994606
26,Othello (1995),3.6101387054161163
27,Now and Then (1995),3.425106609808102
28,Persuasion (1995),4.036360981308412
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",3.9187948922585796
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.6366642174871417
31,Dangerous Minds (1995),3.237586849686494
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3.8901925391095067
34,Babe (1995),3.613834498509874
35,Carrington (1995),3.4987277353689565
36,Dead Man Walking (1995),3.928762262575663
38,It Takes Two (1995),2.912921348314607
39,Clueless (1995),3.416287132078037
40,"Cry, the Beloved Country (1995)",3.6481481481481484
41,Richard III (1995),3.849862258953168
42,Dead Presidents (1995),3.0482824427480915
43,Restoration (1995),3.4662542182227223
44,Mortal Kombat (1995),2.631852191174225
45,To Die For (1995),3.3727235312274924
46,How to Make an American Quilt (1995),3.2685962807438513
47,Seven (a.k.a. Se7en) (1995),4.071687183200579
48,Pocahontas (1995),2.9631678689326324
49,When Night Is Falling (1995),3.5671641791044775
50,"Usual Suspects, The (1995)",4.291958829205532
52,Mighty Aphrodite (1995),3.5328909405654936
53,Lamerica (1994),3.6956521739130435
54,"Big Green, The (1995)",2.848684210526316
55,Georgia (1995),3.2254601226993866
57,Home for the Holidays (1995),3.3223320158102765
58,"Postman, The (Postino, Il) (1994)",3.964109650433224
59,"Confessional, The (Confessionnal, Le) (1995)",3.604878048780488
60,"Indian in the Cupboard, The (1995)",3.0712406262333904
61,Eye for an Eye (1996),3.3363083164300202
62,Mr. Holland's Opus (1995),3.7467143285243374
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),3.121537900874636
64,Two if by Sea (1996),2.8378193430656933
65,Bio-Dome (1996),2.3990919993147166
66,Lawnmower Man 2: Beyond Cyberspace (1996),2.1608662026295438
67,Two Bits (1995),3.352272727272727
68,French Twist (Gazon maudit) (1995),3.4540971168437027
69,Friday (1995),3.5508913168487637
70,From Dusk Till Dawn (1996),3.315466784653309
71,Fair Game (1995),2.3543191800878476
72,Kicking and Screaming (1995),3.484632683658171
73,"Misérables, Les (1995)",3.794383003492433
74,Bed of Roses (1996),3.297678058961649
75,Big Bully (1996),2.451077943615257
76,Screamers (1995),3.018652710681696
77,Nico Icon (1995),3.441048034934498
78,"Crossing Guard, The (1995)",3.170171339563863
79,"Juror, The (1996)",3.1604636492666773
80,"White Balloon, The (Badkonake sefid) (1995)",3.728026533996683
